"date","site","sif","doy","year"
"2007-01-15","US-KFS",-0.116402998566628,15,2007
"2007-02-15","US-KFS",0.0461407974362373,46,2007
"2007-03-15","US-KFS",0.142992585897446,74,2007
"2007-04-15","US-KFS",0.343039631843567,105,2007
"2007-05-15","US-KFS",0.521345436573029,135,2007
"2007-06-15","US-KFS",0.610345363616943,166,2007
"2007-07-15","US-KFS",0.756416022777557,196,2007
"2007-08-15","US-KFS",0.641121327877045,227,2007
"2007-09-15","US-KFS",0.635895133018494,258,2007
"2007-10-15","US-KFS",0.245653063058853,288,2007
"2007-11-15","US-KFS",0.138653486967087,319,2007
"2007-12-15","US-KFS",-0.0731308236718178,349,2007
"2008-01-15","US-KFS",0.0700018778443336,15,2008
"2008-02-15","US-KFS",-0.147000715136528,46,2008
"2008-03-15","US-KFS",-0.0303434990346432,75,2008
"2008-04-15","US-KFS",0.231400415301323,106,2008
"2008-05-15","US-KFS",0.576989591121674,136,2008
"2008-06-15","US-KFS",0.797935307025909,167,2008
"2008-07-15","US-KFS",0.942385494709015,197,2008
"2008-08-15","US-KFS",0.604918479919434,228,2008
"2008-09-15","US-KFS",0.48727759718895,259,2008
"2008-10-15","US-KFS",0.199592962861061,289,2008
"2008-11-15","US-KFS",0.0564946532249451,320,2008
"2008-12-15","US-KFS",0.0675604939460754,350,2008
"2009-01-15","US-KFS",0.107194237411022,15,2009
"2009-02-15","US-KFS",0.04660290107131,46,2009
"2009-03-15","US-KFS",0.0857419893145561,74,2009
"2009-04-15","US-KFS",0.194216087460518,105,2009
"2009-05-15","US-KFS",0.671997606754303,135,2009
"2009-06-15","US-KFS",0.775831401348114,166,2009
"2009-07-15","US-KFS",0.784290194511414,196,2009
"2009-08-15","US-KFS",0.870193481445312,227,2009
"2009-09-15","US-KFS",0.406868129968643,258,2009
"2009-10-15","US-KFS",0.152623414993286,288,2009
"2009-11-15","US-KFS",0.110819190740585,319,2009
"2009-12-15","US-KFS",0.0467910319566727,349,2009
"2010-01-15","US-KFS",0.0267324987798929,15,2010
"2010-03-15","US-KFS",0.199179768562317,74,2010
"2010-04-15","US-KFS",0.40881359577179,105,2010
"2010-05-15","US-KFS",0.611437141895294,135,2010
"2010-06-15","US-KFS",0.656139492988586,166,2010
"2010-07-15","US-KFS",0.861117005348206,196,2010
"2010-08-15","US-KFS",0.591881155967712,227,2010
"2010-09-15","US-KFS",0.437493056058884,258,2010
"2010-10-15","US-KFS",0.267618387937546,288,2010
"2010-11-15","US-KFS",0.0745027661323547,319,2010
"2010-12-15","US-KFS",-0.0751638934016228,349,2010
"2011-01-15","US-KFS",-0.116106338799,15,2011
"2011-02-15","US-KFS",-0.0880529060959816,46,2011
"2011-03-15","US-KFS",0.0419463105499744,74,2011
"2011-04-15","US-KFS",0.459375113248825,105,2011
"2011-05-15","US-KFS",0.594597697257996,135,2011
"2011-06-15","US-KFS",0.814309000968933,166,2011
"2011-07-15","US-KFS",0.932230949401855,196,2011
"2011-08-15","US-KFS",0.775738000869751,227,2011
"2011-09-15","US-KFS",0.391228765249252,258,2011
"2011-10-15","US-KFS",0.228102281689644,288,2011
"2011-11-15","US-KFS",0.0168466549366713,319,2011
"2011-12-15","US-KFS",0.0469500683248043,349,2011
"2012-01-15","US-KFS",-0.0847166106104851,15,2012
"2012-02-15","US-KFS",0.0426175147294998,46,2012
"2012-03-15","US-KFS",0.0590267926454544,75,2012
"2012-04-15","US-KFS",0.459718436002731,106,2012
"2012-05-15","US-KFS",0.662597417831421,136,2012
"2012-06-15","US-KFS",0.580968797206879,167,2012
"2012-07-15","US-KFS",0.502594470977783,197,2012
"2012-08-15","US-KFS",0.372689008712769,228,2012
"2012-09-15","US-KFS",0.404202878475189,259,2012
"2012-10-15","US-KFS",0.133595779538155,289,2012
"2012-11-15","US-KFS",0.0656432956457138,320,2012
"2012-12-15","US-KFS",-0.00541885709390044,350,2012
"2013-01-15","US-KFS",0.00901699438691139,15,2013
"2013-02-15","US-KFS",0.0266995076090097,46,2013
"2013-03-15","US-KFS",0.180497691035271,74,2013
"2013-04-15","US-KFS",0.216907843947411,105,2013
"2013-05-15","US-KFS",0.671689510345459,135,2013
"2013-06-15","US-KFS",0.66204422712326,166,2013
"2013-07-15","US-KFS",0.653857290744781,196,2013
