"date","site","sif","doy","year"
"2007-03-15","US-CaV",0.128226682543755,74,2007
"2007-04-15","US-CaV",0.366792500019073,105,2007
"2007-05-15","US-CaV",0.759457349777222,135,2007
"2007-06-15","US-CaV",0.999995708465576,166,2007
"2007-07-15","US-CaV",0.916028022766113,196,2007
"2007-08-15","US-CaV",0.689724683761597,227,2007
"2007-09-15","US-CaV",0.499913334846497,258,2007
"2007-10-15","US-CaV",0.318642795085907,288,2007
"2007-11-15","US-CaV",0.107125215232372,319,2007
"2007-12-15","US-CaV",0.0286725740879774,349,2007
"2008-01-15","US-CaV",0.0613923072814941,15,2008
"2008-02-15","US-CaV",-0.0685786232352257,46,2008
"2008-03-15","US-CaV",0.221818134188652,75,2008
"2008-04-15","US-CaV",0.0587275438010693,106,2008
"2008-05-15","US-CaV",0.695320844650269,136,2008
"2008-06-15","US-CaV",1.08904469013214,167,2008
"2008-07-15","US-CaV",1.01842772960663,197,2008
"2008-08-15","US-CaV",0.755045831203461,228,2008
"2008-09-15","US-CaV",0.484288364648819,259,2008
"2008-10-15","US-CaV",0.30958679318428,289,2008
"2008-11-15","US-CaV",0.130753740668297,320,2008
"2008-12-15","US-CaV",0.00308399763889611,350,2008
"2009-01-15","US-CaV",0.103376053273678,15,2009
"2009-02-15","US-CaV",0.0724611431360245,46,2009
"2009-03-15","US-CaV",0.0205972716212273,74,2009
"2009-04-15","US-CaV",0.111556842923164,105,2009
"2009-05-15","US-CaV",0.872465968132019,135,2009
"2009-06-15","US-CaV",0.807708144187927,166,2009
"2009-07-15","US-CaV",0.814077854156494,196,2009
"2009-08-15","US-CaV",0.897177159786224,227,2009
"2009-09-15","US-CaV",0.53215092420578,258,2009
"2009-10-15","US-CaV",0.366199404001236,288,2009
"2009-11-15","US-CaV",0.0287420246750116,319,2009
"2009-12-15","US-CaV",0.0221698991954327,349,2009
"2010-03-15","US-CaV",0.11910205334425,74,2010
"2010-04-15","US-CaV",0.261110991239548,105,2010
"2010-05-15","US-CaV",0.749073028564453,135,2010
"2010-06-15","US-CaV",0.943655252456665,166,2010
"2010-07-15","US-CaV",0.810196459293365,196,2010
"2010-08-15","US-CaV",0.580532968044281,227,2010
"2010-09-15","US-CaV",0.39171952009201,258,2010
"2010-10-15","US-CaV",0.261722445487976,288,2010
"2010-11-15","US-CaV",0.145504921674728,319,2010
"2010-12-15","US-CaV",0.0826152637600899,349,2010
"2011-01-15","US-CaV",0.181945249438286,15,2011
"2011-02-15","US-CaV",-0.0478362217545509,46,2011
"2011-03-15","US-CaV",0.0964099913835526,74,2011
"2011-04-15","US-CaV",0.176708117127419,105,2011
"2011-05-15","US-CaV",0.792329609394073,135,2011
"2011-06-15","US-CaV",0.955182731151581,166,2011
"2011-07-15","US-CaV",0.956544280052185,196,2011
"2011-08-15","US-CaV",0.608320474624634,227,2011
"2011-09-15","US-CaV",0.425871789455414,258,2011
"2011-10-15","US-CaV",0.263964086771011,288,2011
"2011-11-15","US-CaV",0.0725069716572762,319,2011
"2011-12-15","US-CaV",0.0725674852728844,349,2011
"2012-01-15","US-CaV",0.0442854054272175,15,2012
"2012-02-15","US-CaV",0.110105991363525,46,2012
"2012-03-15","US-CaV",0.0545593500137329,75,2012
"2012-04-15","US-CaV",0.246243000030518,106,2012
"2012-05-15","US-CaV",0.736000001430511,136,2012
"2012-06-15","US-CaV",1.00931489467621,167,2012
"2012-07-15","US-CaV",0.88916289806366,197,2012
"2012-08-15","US-CaV",0.655301332473755,228,2012
"2012-09-15","US-CaV",0.37900573015213,259,2012
"2012-10-15","US-CaV",0.116726964712143,289,2012
"2012-11-15","US-CaV",0.0595690682530403,320,2012
"2012-12-15","US-CaV",0.0255701504647732,350,2012
"2013-01-15","US-CaV",-0.121032372117043,15,2013
"2013-03-15","US-CaV",0.0636344850063324,74,2013
"2013-04-15","US-CaV",0.123137235641479,105,2013
"2013-05-15","US-CaV",0.593659818172455,135,2013
"2013-06-15","US-CaV",0.807123184204102,166,2013
"2013-07-15","US-CaV",0.696537792682648,196,2013
"2013-08-15","US-CaV",0.541997492313385,227,2013
"2013-09-15","US-CaV",0.46257159113884,258,2013
"2013-10-15","US-CaV",0.185764968395233,288,2013
